proCodeId,proId,proCode,codeDesc,associatedWithProCode,minQty,maxQty,minSize,maxSize,chargePerUnit,billWithIntEM,billWithFUEM,leftRightSepration,billAlone,printByRows,splitInMultipleVisits,effectiveSince,effectiveTill,deleted,created_by,update_by,created_date,update_date,created_ip,update_ip,addOn,proName
667,353,26113,"Excision, tumor, soft tissue of hand or finger, subcutaneous; 1.5 cm or greater",,1,20,1.5,200,1,1,1,0,0,0,0,1/1/2010,12/31/2050,1,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
669,353,23075,Soft Tissue Excision,,1,20,3,10,0,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
670,353,24075,Soft Tissue Excision,,1,20,0,2.9,0,1,1,0,0,0,0,1/1/2010,12/31/2099,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
671,353,25065,"Excision, tumor, soft tissue of forearm or wrist area, subfascial",,1,20,1.5,200,0,1,1,0,0,0,0,1/1/2010,12/31/2050,1,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
672,353,27327,"Excision, tumor, soft tissue of thigh or knee area, subcutaneous; less than 3 cm",,1,20,0,2.9,0,1,1,0,0,0,0,1/1/2010,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
673,353,27618,"Excision, tumor, soft tissue of leg or ankle area, subcutaneous; less than 3 cm",,1,20,0,2.9,0,1,1,0,0,0,0,1/1/2010,12/31/2099,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Soft Tissue Excision
674,28,11000,"Debridement of extensive eczematous or infected skin; includes removal of devitalized tissue, debris, or crusts (e.g., for dermatologic conditions, not wound-based surgical debridement).",,1,10,0,0,0,0,0,0,0,0,0,9/30/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Debridement
675,263,64653,Botulinum Toxin Type A,,1,100,0,0,1,1,1,0,0,0,0,1/1/2013,12/31/2050,0,0,32002,0000-00-00 00:00:00,6/26/2024 9:28,0,54.177.219.180,0,Botulinum Toxin Type A
676,263,64650,Botulinum Toxin Type A,,1,100,0,0,0,1,1,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Botulinum Toxin Type A
677,355,95044,Non-Covered Service - Patch test 80,,80,80,0,0,1,0,0,0,0,0,0,11/1/2015,12/31/2099,0,0,32002,0000-00-00 00:00:00,1/25/2024 11:18,0,54.177.219.180,0,Patch Test 80 - Application
